X,Y,Paths,Numbering
387.6100159,1153.01294,1,1
387.6100159,1154.01294,1,2
388.6100159,1153.01294,1,3
388.6100159,1154.01294,1,4
389.6100159,1153.01294,1,5
390.6100159,1153.01294,1,6
391.6100159,1154.01294,1,7
392.6100159,1148.01294,1,8
392.6100159,1149.01294,1,9
392.6100159,1150.01294,1,10
392.6100159,1151.01294,1,11
392.6100159,1152.01294,1,12
392.6100159,1154.01294,1,13
393.6100159,1153.01294,1,14
394.6100159,1109.01294,1,15
394.6100159,1153.01294,1,16
395.6100159,1106.01294,1,17
395.6100159,1107.01294,1,18
395.6100159,1108.01294,1,19
395.6100159,1153.01294,1,20
396.6100159,1105.01294,1,21
396.6100159,1153.01294,1,22
396.6100159,1154.01294,1,23
397.6100159,1105.01294,1,24
397.6100159,1151.01294,1,25
397.6100159,1152.01294,1,26
397.6100159,1154.01294,1,27
398.6100159,1097.01294,1,28
398.6100159,1104.01294,1,29
398.6100159,1150.01294,1,30
398.6100159,1151.01294,1,31
398.6100159,1154.01294,1,32
399.6100159,1097.01294,1,33
399.6100159,1103.01294,1,34
399.6100159,1147.01294,1,35
399.6100159,1148.01294,1,36
399.6100159,1149.01294,1,37
399.6100159,1150.01294,1,38
399.6100159,1155.01294,1,39
400.6100159,1096.01294,1,40
400.6100159,1102.01294,1,41
400.6100159,1150.01294,1,42
401.6100159,1095.01294,1,43
401.6100159,1101.01294,1,44
401.6100159,1151.01294,1,45
402.6100159,1094.01294,1,46
402.6100159,1100.01294,1,47
402.6100159,1151.01294,1,48
403.6100159,1094.01294,1,49
403.6100159,1099.01294,1,50
403.6100159,1148.01294,1,51
403.6100159,1149.01294,1,52
403.6100159,1150.01294,1,53
404.6100159,1095.01294,1,54
404.6100159,1096.01294,1,55
404.6100159,1097.01294,1,56
404.6100159,1098.01294,1,57
404.6100159,1099.01294,1,58
404.6100159,1147.01294,1,59
405.6100159,1099.01294,1,60
405.6100159,1146.01294,1,61
406.6100159,1099.01294,1,62
406.6100159,1100.01294,1,63
406.6100159,1140.01294,1,64
406.6100159,1141.01294,1,65
406.6100159,1142.01294,1,66
406.6100159,1145.01294,1,67
407.6100159,1073.01294,1,68
407.6100159,1098.01294,1,69
407.6100159,1100.01294,1,70
407.6100159,1139.01294,1,71
407.6100159,1143.01294,1,72
407.6100159,1144.01294,1,73
408.6100159,1073.01294,1,74
408.6100159,1097.01294,1,75
408.6100159,1137.01294,1,76
408.6100159,1138.01294,1,77
409.6100159,770.0129395,1,78
409.6100159,1067.01294,1,79
409.6100159,1073.01294,1,80
409.6100159,1096.01294,1,81
409.6100159,1136.01294,1,82
410.6100159,771.0129395,1,83
410.6100159,1068.01294,1,84
410.6100159,1073.01294,1,85
410.6100159,1095.01294,1,86
410.6100159,1135.01294,1,87
411.6100159,772.0129395,1,88
411.6100159,1069.01294,1,89
411.6100159,1070.01294,1,90
411.6100159,1071.01294,1,91
411.6100159,1072.01294,1,92
411.6100159,1095.01294,1,93
411.6100159,1134.01294,1,94
412.6100159,772.0129395,1,95
412.6100159,1072.01294,1,96
412.6100159,1094.01294,1,97
412.6100159,1134.01294,1,98
413.6100159,772.0129395,1,99
413.6100159,1072.01294,1,100
413.6100159,1093.01294,1,101
413.6100159,1133.01294,1,102
414.6100159,772.0129395,1,103
414.6100159,1072.01294,1,104
414.6100159,1087.01294,1,105
414.6100159,1092.01294,1,106
414.6100159,1133.01294,1,107
415.6100159,772.0129395,1,108
415.6100159,1072.01294,1,109
415.6100159,1087.01294,1,110
415.6100159,1091.01294,1,111
415.6100159,1132.01294,1,112
416.6100159,772.0129395,1,113
416.6100159,1072.01294,1,114
416.6100159,1088.01294,1,115
416.6100159,1089.01294,1,116
416.6100159,1090.01294,1,117
416.6100159,1132.01294,1,118
417.6100159,772.0129395,1,119
417.6100159,1072.01294,1,120
417.6100159,1088.01294,1,121
417.6100159,1131.01294,1,122
418.6100159,772.0129395,1,123
418.6100159,1072.01294,1,124
418.6100159,1088.01294,1,125
418.6100159,1132.01294,1,126
419.6100159,772.0129395,1,127
419.6100159,1072.01294,1,128
419.6100159,1088.01294,1,129
419.6100159,1132.01294,1,130
420.6100159,772.0129395,1,131
420.6100159,1071.01294,1,132
420.6100159,1088.01294,1,133
420.6100159,1132.01294,1,134
421.6100159,772.0129395,1,135
421.6100159,1070.01294,1,136
421.6100159,1088.01294,1,137
421.6100159,1108.01294,1,138
421.6100159,1109.01294,1,139
421.6100159,1132.01294,1,140
422.6100159,772.0129395,1,141
422.6100159,1069.01294,1,142
422.6100159,1088.01294,1,143
422.6100159,1108.01294,1,144
422.6100159,1109.01294,1,145
422.6100159,1129.01294,1,146
422.6100159,1130.01294,1,147
422.6100159,1131.01294,1,148
423.6100159,772.0129395,1,149
423.6100159,1068.01294,1,150
423.6100159,1089.01294,1,151
423.6100159,1110.01294,1,152
423.6100159,1127.01294,1,153
423.6100159,1128.01294,1,154
424.6100159,772.0129395,1,155
424.6100159,1067.01294,1,156
424.6100159,1089.01294,1,157
424.6100159,1111.01294,1,158
424.6100159,1112.01294,1,159
424.6100159,1125.01294,1,160
424.6100159,1126.01294,1,161
425.6100159,772.0129395,1,162
425.6100159,1067.01294,1,163
425.6100159,1090.01294,1,164
425.6100159,1111.01294,1,165
425.6100159,1112.01294,1,166
425.6100159,1113.01294,1,167
425.6100159,1123.01294,1,168
425.6100159,1124.01294,1,169
426.6100159,772.0129395,1,170
426.6100159,780.0129395,1,171
426.6100159,1066.01294,1,172
426.6100159,1091.01294,1,173
426.6100159,1092.01294,1,174
426.6100159,1093.01294,1,175
426.6100159,1111.01294,1,176
426.6100159,1114.01294,1,177
426.6100159,1122.01294,1,178
427.6100159,772.0129395,1,179
427.6100159,779.0129395,1,180
427.6100159,804.0129395,1,181
427.6100159,1065.01294,1,182
427.6100159,1094.01294,1,183
427.6100159,1111.01294,1,184
427.6100159,1112.01294,1,185
427.6100159,1119.01294,1,186
427.6100159,1120.01294,1,187
427.6100159,1121.01294,1,188
428.6100159,772.0129395,1,189
428.6100159,778.0129395,1,190
428.6100159,779.0129395,1,191
428.6100159,793.0129395,1,192
428.6100159,803.0129395,1,193
428.6100159,1062.01294,1,194
428.6100159,1063.01294,1,195
428.6100159,1064.01294,1,196
428.6100159,1066.01294,1,197
428.6100159,1095.01294,1,198
428.6100159,1112.01294,1,199
428.6100159,1117.01294,1,200
428.6100159,1118.01294,1,201
429.6100159,772.0129395,1,202
429.6100159,777.0129395,1,203
429.6100159,803.0129395,1,204
429.6100159,1062.01294,1,205
429.6100159,1067.01294,1,206
